frame	cv1	cv2	energy
39400	-0.623700	-2.268730	2.768516
88900	1.355990	0.440120	2.769952
73900	2.070610	0.796980	2.770401
21400	-1.043800	-1.972270	2.770947
98800	1.698420	0.560470	2.775493
82700	2.321380	0.809640	2.776729
64800	1.867500	0.972300	2.782490
42400	-0.676450	-2.413940	2.792329
59600	1.511320	0.584970	2.792949
28300	-1.308670	-2.398550	2.797498
33800	-1.234580	-1.494320	2.804684
67000	2.054200	0.374120	2.808318
36400	-0.707150	-1.901160	2.808745
64900	2.003290	0.921540	2.809126
98900	1.627260	0.620770	2.809901
35200	-0.833590	-2.486060	2.816073
38600	-0.653580	-2.274320	2.816922
82400	2.044420	1.001740	2.825016
49800	0.221990	-1.127610	2.829241
50300	0.354320	-1.050840	2.829262
26400	-1.359450	-1.859470	2.830374
39000	-0.645970	-2.286740	2.833579
99700	1.384880	0.570710	2.833744
4000	-4.224620	1.910920	2.836491
32400	-1.298640	-1.745660	2.845451
27600	-1.804140	-1.593890	2.861219
75000	2.447020	1.125900	2.862781
41000	-0.307480	-1.748130	2.863366
68800	2.476950	0.855360	2.864826
33300	-1.023640	-1.821560	2.865995
67100	1.571830	0.930270	2.869461
58200	1.868440	0.347910	2.874012
94200	1.379260	0.510760	2.888016
25700	-0.803420	-2.363830	2.895952
74200	2.123350	0.951850	2.898743
99000	1.421030	0.444420	2.905189
42700	-0.769040	-2.040800	2.906282
36300	-0.919960	-2.049520	2.927687
99600	1.763110	0.374770	2.929521
41400	-0.158310	-2.240570	2.930508
74500	1.939190	1.028230	2.936470
9500	-4.462040	2.378330	2.936945
65200	1.994090	0.828780	2.937311
97400	1.638490	0.233400	2.940485
37400	-1.413020	-1.758830	2.941329
83300	1.863530	1.378880	2.944195
37600	-1.141670	-1.861370	2.944642
30400	-2.123820	-1.108420	2.945477
77000	2.630470	1.076300	2.946286
44000	-0.520790	-1.832040	2.954843
12500	-4.245560	2.900770	2.956012
41500	-0.224640	-2.379100	2.958274
18700	-1.192350	-2.182540	2.965642
4200	-4.321980	2.050630	2.967802
26600	-1.730950	-1.882500	2.970995
78600	2.306460	1.495220	2.972104
67800	1.890210	0.932430	2.973853
20900	-0.940320	-1.954310	2.984219
75500	2.852200	0.732690	2.988304
